stock_name
NASDAQ:FB
NASDAQ:GOOGL
NASDAQ:COST
NYSE:BABA
NASDAQ:MSFT
NASDAQ:AMZN
NASDAQ:ADBE
NYSE:CRM
NYSE:V
NYSE:MA
NYSE:JNJ
NYSE:PFE
NYSE:BRK.B
NYSE:BA
NASDAQ:AAPL
NYSE:LMT
NYSE:O
NYSE:RACE
NASDAQ:SBUX
NYSE:LOW
NASDAQ:ADP
NYSE:UTX
NASDAQ:LK
NYSE:PINS
NYSE:UDR
NYSE:EQR
NYSE:AVB
TYO:3659
NASDAQ:AMAT

HKG:9618
NASDAQ:BLCT
TSE:CSU
NYSE:PANW
NYSE:PAR
NASDAQ:KC
NASDAQ:DOYU
NYSE:HUYA
LON:KWS
NYSE:AYX
NYSE:NEE
NASDAQ:DOCU
NYSE:FSLY
TSE:CSU
NASDAQ:BIIB
NYSE:U
EPA:KER
